participant_id,session_timestamp,session_uuid,unix_timestamp_ms,event_type,game_mode,game_phase,target_id,target_type,target_x_normalized,target_y_normalized,target_x_pixels,target_y_pixels,target_index,game_score_at_event
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451499587,stimuli_stop,hands-fixed,targeting,right_hand_figure8_trial1_016,hand-right,0.3469266270539638,0.28786796564403544,499.5743429577079,377.39490295933047,28,28
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451499587,stimuli_start,hands-fixed,centering,hands-centering-trial2-secondary-002,centering,0.3,0.5,432,655.5,29,28
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451502296,stimuli_stop,hands-fixed,centering,hands-centering-trial2-secondary-002,centering,0.3,0.5,432,655.5,29,29
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451502296,stimuli_start,hands-fixed,starting,left_hand_figure8_trial2_001,hand-left,0.5,0.5,720,655.5,30,29
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451503672,stimuli_stop,hands-fixed,starting,left_hand_figure8_trial2_001,hand-left,0.5,0.5,720,655.5,30,30
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451503672,stimuli_start,hands-fixed,targeting,left_hand_figure8_trial2_002,hand-left,0.653073372946036,0.7121320343559642,940.4256570422917,933.6050970406691,31,30
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451504761,stimuli_stop,hands-fixed,targeting,left_hand_figure8_trial2_002,hand-left,0.653073372946036,0.7121320343559642,940.4256570422917,933.6050970406691,31,31
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451504761,stimuli_start,hands-fixed,targeting,left_hand_figure8_trial2_003,hand-left,0.7828427124746191,0.7999999999999999,1127.2935059634515,1048.8,32,31
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451504939,stimuli_stop,hands-fixed,targeting,left_hand_figure8_trial2_003,hand-left,0.7828427124746191,0.7999999999999999,1127.2935059634515,1048.8,32,32
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451504939,stimuli_start,hands-fixed,targeting,left_hand_figure8_trial2_004,hand-left,0.8695518130045148,0.7121320343559643,1252.1546107265012,933.6050970406692,33,32
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451505406,stimuli_stop,hands-fixed,targeting,left_hand_figure8_trial2_004,hand-left,0.8695518130045148,0.7121320343559643,1252.1546107265012,933.6050970406692,33,33
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451505406,stimuli_start,hands-fixed,targeting,left_hand_figure8_trial2_005,hand-left,0.9,0.5,1296,655.5,34,33
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451506093,stimuli_stop,hands-fixed,targeting,left_hand_figure8_trial2_005,hand-left,0.9,0.5,1296,655.5,34,34
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451506093,stimuli_start,hands-fixed,targeting,left_hand_figure8_trial2_006,hand-left,0.8695518130045148,0.2878679656440358,1252.1546107265012,377.39490295933086,35,34
